Date,"MSFT AAPL_('Close', 'AAPL')","MSFT AAPL_('Close', 'MSFT')","MSFT AAPL_('High', 'AAPL')","MSFT AAPL_('High', 'MSFT')","MSFT AAPL_('Low', 'AAPL')","MSFT AAPL_('Low', 'MSFT')","MSFT AAPL_('Open', 'AAPL')","MSFT AAPL_('Open', 'MSFT')","MSFT AAPL_('Volume', 'AAPL')","MSFT AAPL_('Volume', 'MSFT')"
2024-04-02,167.47386169433594,416.0166015625,167.9698160455762,416.94450735898084,166.86879678040978,412.4629229935154,167.7119252316485,414.7037001138204,49329500,17912000
2024-04-03,168.27728271484375,415.03936767578125,169.29894733031932,417.8132042224073,167.2159484161416,413.6968534411064,167.42424073989756,414.32863193386083,47691700,16502300
2024-04-04,167.45399475097656,412.5024719238281,170.5289019190824,423.15362810467406,167.45399475097656,412.196463601544,168.9120862737285,419.52096167828336,53704400,19370900
2024-04-05,168.2078399658203,420.0440979003906,169.01128340394683,421.0213783675685,167.58293278713433,412.9367706496642,168.217753601793,414.60502494858775,42104800,16554800
2024-04-08,167.08697509765625,419.1260681152344,167.83090643391947,421.7814536782747,166.87868279928273,417.85266032435015,167.66228381393842,419.698621129678,37425500,14272400
2024-04-09,168.297119140625,420.7943420410156,168.70380527202582,422.23554534749115,166.98780774616682,416.19430642939574,167.3349666518587,420.9522866687586,42373800,12496900
2024-04-10,166.4224090576172,417.813232421875,167.72180678766216,418.5733127302172,165.75783217031642,414.29904716210126,167.43415997850798,416.7569946282444,49709300,16216600
2024-04-11,173.62364196777344,422.4230651855469,174.04025682035402,423.8445365841043,166.79932237773104,416.92473693729744,166.97785862713312,420.3402327247268,91070300,17966400
2024-04-12,175.12144470214844,416.47064208984375,176.91679662448954,419.70843118069365,172.80038249764078,414.36804783994415,172.8499658132502,418.59296811855137,101670900,19253800
2024-04-15,171.29266357421875,408.3169860839844,175.200785081753,421.32736877280126,171.10419855705527,408.10966683089106,173.94105717912421,421.1101986920762,73531800,20273500
2024-04-16,168.00949096679688,409.244873046875,172.35404053556772,413.0157217686464,166.9084717665257,408.4058355582689,170.36030960981174,409.23502221897127,73711200,16765600
2024-04-17,166.64064025878906,406.5401306152344,169.2691919230274,413.4895430541291,166.64064025878906,405.04955278693666,168.23761366668208,411.88051429574114,50901200,15855500
2024-04-18,165.68838500976562,399.0675048828125,167.27544462394533,406.58946965845195,165.20235954360626,398.7516458051748,166.67037984876308,405.34567475168,43122900,21029900
2024-04-19,163.66490173339844,393.98382568359375,165.05356757276493,400.2619961941858,162.7523477339115,392.6511924508159,164.86511767231858,398.8306438099327,68149400,30565800
2024-04-22,164.49810791015625,395.8001403808594,165.9066162144586,397.6658329165628,163.43677364744048,390.65719496673063,164.18070504913473,394.93146005470254,48116400,20286900
2024-04-23,165.5495147705078,402.32513427734375,165.69831011966792,402.9470318520377,163.58554027123327,397.87316221870356,164.01206877643943,399.0379699896353,49537800,15734500
2024-04-24,167.6523895263672,403.7958984375,167.93012271313196,407.16201954597966,164.86512888648411,401.54524043863097,165.19244539313124,404.28946405238224,48251800,15065300
2024-04-25,168.5153350830078,393.90484619140625,169.2295104164757,394.7439137442764,166.78940883790665,383.0365219371324,168.15824741627387,388.959309192893,50558300,40586500
2024-04-26,167.93011474609375,401.0911560058594,169.95360145871248,407.68518518518516,167.81107543218243,400.5383649444101,168.50542350147623,406.86587954495434,44838400,29694700
2024-04-29,172.0961151123047,397.0735778808594,174.60564226594082,401.09120962785465,171.69935778865286,394.0529584180936,171.96716217122307,400.03497187375575,68169400,19582100
2024-04-30,168.9517822265625,384.31982421875,173.57407962239418,396.9847359459567,168.6244505944639,384.16190971715395,171.92750782528833,396.323344705487,65934800,28781400
2024-05-01,167.93011474609375,389.85760498046875,171.31252641733016,396.55035342207367,167.74164970644674,385.28718262896496,168.20784791968214,387.5575723765422,50383100,23562500
2024-05-02,171.62991333007812,392.7203063964844,172.01675700988142,394.7834071649824,169.50722990892024,389.5713551906569,171.1141167118999,392.5426299953367,94214900,17709400
2024-05-03,181.8961639404297,401.4267883300781,185.48686744008484,401.9104729912864,181.1819886945406,396.68854036623503,185.13969345224513,397.1031487364524,163224100,17446700
2024-05-06,180.23971557617188,408.2182922363281,182.70955826534143,408.60325778406036,178.9601450261929,401.1405474563734,180.8745364649345,403.4998057579773,78569700,16996600
2024-05-07,180.92410278320312,404.07232666015625,183.40387401178498,409.3337534102894,179.8528549315395,403.82554383275414,181.965609726272,409.3238724572391,77305800,20018200
2024-05-08,181.26136779785156,405.25689697265625,181.58869942461462,406.92515129872777,179.9817973354757,401.47616718048914,181.3704783401059,402.91740058487204,45057100,11792300
2024-05-09,183.07655334472656,407.013916015625,183.16582147443802,407.40876244388096,180.6364518520254,403.8353525621593,181.08280763590477,405.28643653276,48983000,14689700
2024-05-10,181.81512451171875,409.40283203125,183.84135574437508,410.0346105329173,180.9013327671207,406.50066355453686,183.6526350835399,407.62600771381045,50759500,13402300
2024-05-13,185.02333068847656,408.3959045410156,185.8378061410755,412.9663266297868,183.37452561798457,405.53323020324206,184.18900107058352,412.6307056505163,72044800,15440200
2024-05-14,186.16558837890625,411.19940185546875,187.02972965761612,412.117426712038,185.03327943466695,406.25386452353786,186.2450505169401,406.71781742817865,52393600,15109300
2024-05-15,188.4401397705078,418.3887939453125,189.3638586651008,419.1107104287916,186.1059869360216,412.64321876209584,186.64235255391958,413.26623802905556,70400000,22239500
2024-05-16,188.559326171875,416.32196044921875,189.81083584823088,420.7028625691673,188.3805477357399,415.6890726034355,189.18508101005293,417.1229765763839,52845200,17530100
2024-05-17,188.589111328125,415.5506591796875,189.52277241007562,418.2306321456543,187.90376371878457,413.3948384903914,188.23153932133224,417.8548407966732,41282900,15352200
2024-05-20,189.751220703125,420.6236877441406,190.6252889956646,422.0378241947753,187.73491647398643,415.3330042530759,188.05276500067424,415.55056602849584,44361300,16272100
2024-05-21,191.05238342285156,424.2827453613281,191.42980957851574,428.1691616593918,189.6320225414164,420.13920232686917,189.80087387660714,422.0972284603576,42309400,21453300
2024-05-22,189.61216735839844,425.74627685546875,191.51922822288097,427.6153345538536,188.9864276944718,422.39388170740824,190.97293553544338,425.3210520448661,34648500,18073700
2024-05-23,185.61927795410156,422.2653503417969,189.71147882549133,428.79217443912484,185.3709645001415,420.7028829331948,189.6916095055364,428.16915515912984,51005900,17211700
2024-05-24,188.6983642578125,425.39031982421875,189.2943226367172,426.2803344425143,186.771449342652,419.70407675613797,187.54620129756856,422.4532504584075,36327000,11855300
2024-05-28,188.7082977294922,425.5484924316406,191.69798625592665,426.0429482844811,187.82430244055638,421.8697396793398,190.21803261577213,424.86614094038555,52280100,15718000
2024-05-29,189.0062713623047,424.4112854003906,190.95305560689752,426.1616484009117,188.2315345598267,420.96986151310944,188.33086600869876,420.96986151310944,53068000,15517100
2024-05-30,189.99952697753906,410.07208251953125,190.88352231957748,419.59527810803877,189.34399093884022,409.64682749572347,189.47310363654154,419.59527810803877,49889100,28394500
2024-05-31,190.9530487060547,410.5269775390625,191.2708972062775,412.1290098934204,188.62883838261533,400.0247386123212,190.14851552916033,412.1290098934204,75158300,47995300
2024-06-03,192.72103881835938,408.934814453125,193.67456916074488,411.81255153776027,191.22123099586668,404.3858441186775,191.5986571441052,410.92253691489856,50080500,17484700
2024-06-04,193.0388946533203,411.4565734863281,194.0023521144802,411.8224660535518,191.72779227719917,405.1374120820197,193.32693160548868,407.8569197542122,47471400,14348900
2024-06-05,194.54864501953125,419.3085021972656,195.571695368637,419.3777030871155,193.55539107625557,411.6839704862112,194.0818144537235,413.17723696234333,54156800,16988000
